1.266,0.419
1.304,0.443
1.396,0.464
1.457,0.492
1.515,0.519
1.601,0.541
1.672,0.567
1.783,0.594
1.936,0.624
2.109,0.651
2.319,0.675
2.549,0.692
2.709,0.68
2.731,0.655
2.734,0.606
2.736,0.563
2.76,0.623
2.798,0.51
2.89,0.533
2.941,0.571
2.989,0.6
3.081,0.632
3.238,0.657
3.43,0.666
3.64,0.649
3.755,0.62
3.832,0.588
3.909,0.551
3.985,0.512
4.069,0.47
4.138,0.435
4.177,0.41
4.215,0.38
4.261,0.347
4.317,0.312
4.339,0.285
4.368,0.22
4.368,0.252
4.387,0.192
4.475,0.17
4.56,0.139
4.601,0.101
4.694,0.076
4.885,0.056
5.115,0.045
5.326,0.041
5.462,0.036
5.689,0.028
5.919,0.028
6.149,0.025
6.379,0.025
6.609,0.022
6.838,0.019
7.068,0.016
7.298,0.014
7.528,0.01
7.746,0.00600000000000001
7.987,0.001
8.217,-0.00099999999999989
8.469,0.011
8.638,0.045
8.772,0.069
8.906,0.095
9.04,0.119
9.175,0.142
9.328,0.169
9.481,0.195
9.653,0.22
9.864,0.237
10.094,0.239
10.323,0.227
10.553,0.207
10.783,0.183
11.008,0.157
11.204,0.143
11.423,0.123
11.664,0.112
11.894,0.099
12.135,0.089
12.44,0.075
12.794,0.069
13.071,0.0639999999999999
13.311,0.0659999999999999
13.502,0.0649999999999999
13.732,0.0639999999999999
13.962,0.0639999999999999
14.192,0.0620000000000001
14.421,0.0649999999999999
14.651,0.069
14.881,0.0659999999999999
15.111,0.07
15.341,0.0679999999999999
15.57,0.07
15.8,0.071
