wavelength/microns	Spherical_albedo
0.01	0.17865813992857812
0.02	0.20438812186812869
0.03	0.2364700760719175
0.04	0.2660718914521987
0.05	0.2913365803986964
0.060000000000000005	0.3157224775731294
0.06999999999999999	0.33699172613755785
0.08	0.34960304964410055
0.09	0.36223612529101273
0.09999999999999999	0.3871389809510708
0.11	0.4064007897926876
0.12	0.39656753303424364
0.13	0.4245398280642934
0.14	0.42355292994588234
0.15000000000000002	0.44444657857347625
0.16	0.46507349890416166
0.17	0.45029313967789825
0.18000000000000002	0.4614614621977989
0.19	0.4944345767997588
0.2	0.4911741814867204
0.21000000000000002	0.476704592192875
0.22	0.4932877388928445
0.23	0.5055944624195552
0.24000000000000002	0.5240311790012807
0.25	0.4928041013128519
0.26	0.5373301688483195
0.27	0.5128420083733032
0.28	0.5232048491609675
0.29000000000000004	0.5242373417403323
0.3	0.26280973863925294
0.31	0.23281907549200942
0.32	0.2189030999074081
0.33	0.2031440975088638
0.34	0.20383828418786973
0.35000000000000003	0.2073654646380161
0.36000000000000004	0.20007214292715358
0.37	0.19264238128572567
0.38	0.18833957434589504
0.39	0.18584058627521388
0.4	0.19220952227091698
0.41000000000000003	0.20002323724363283
0.42000000000000004	0.20410516263731396
0.43	0.19945050200036393
0.44	0.1908212334202318
0.45	0.18635336721879953
0.46	0.18839483873154805
0.47000000000000003	0.19212760343227514
0.48000000000000004	0.19586462823001738
0.49	0.20409079005817116
0.5	0.2073247224552633
0.51	0.2080386793412167
0.52	0.20931792903787222
0.53	0.206872293909084
0.54	0.20282683804694807
0.55	0.19660121067677677
0.56	0.2025009188795467
0.5700000000000001	0.1973004748262331
0.5800000000000001	0.20633511976878266
0.59	0.21245106112006093
0.6	0.21488048922358696
0.61	0.2272480046511678
0.62	0.22287394954169787
0.63	0.23175198202668826
0.64	0.23607193769619145
0.65	0.23288553138965412
0.66	0.23360735209787825
0.67	0.23178022501063394
0.68	0.2256957884573587
0.6900000000000001	0.2190651301637837
0.7000000000000001	0.2224681274734233
0.7100000000000001	0.21632381349952978
0.72	0.21146851909122164
0.73	0.21832922592700243
0.74	0.21735338623247966
0.75	0.21278503246188127
0.76	0.21803496783492488
0.77	0.229280452010411
0.78	0.23228461195870592
0.79	0.23050344830173392
0.8	0.236710067816122
0.81	0.24979376167058154
0.8200000000000001	0.2547744581315349
0.8300000000000001	0.2535868216461921
0.8400000000000001	0.25291575980902525
0.85	0.2632393714580186
0.86	0.2711171506003983
0.87	0.2709465266309375
0.88	0.2650067049981541
0.89	0.26151072708410256
0.9	0.2670731931945318
0.91	0.27340201154758964
0.92	0.2734119243993151
0.93	0.26626740683080635
0.9400000000000001	0.2584872875692022
0.9500000000000001	0.2533143919541543
0.9600000000000001	0.25538802708462727
0.97	0.25840625835064457
0.98	0.25920256521929574
0.99	0.25263985408372364
1.0	0.24863831400068548
1.01	0.24216122656861114
1.02	0.23853328605885912
1.03	0.23926913559484458
1.04	0.24305829226746728
1.05	0.24479885578654678
1.06	0.24275665546513472
1.07	0.2470494906649278
1.08	0.2461276294592221
1.09	0.24336787658933695
1.1	0.24276372039535388
1.11	0.24595573327396833
1.12	0.2543153675897653
1.1300000000000001	0.2557853767057377
1.1400000000000001	0.25742130745995384
1.1500000000000001	0.2680583201336681
1.1600000000000001	0.272788004474339
1.17	0.27251705821413685
1.18	0.27078804744013946
1.19	0.2695019940285426
1.2	0.27145055038136423
1.21	0.2809123548711092
1.22	0.2886786728648576
1.23	0.2827879710179731
1.24	0.29913949492447717
1.25	0.3086449451761142
1.26	0.3106739063556335
1.27	0.3149833940156336
1.28	0.3085972953546221
1.29	0.30130392114389715
1.3	0.3061732559007013
1.31	0.31924102605897725
1.32	0.3238079295445381
1.33	0.3215471338746599
1.34	0.32116514361473536
1.35	0.33055658065575433
1.36	0.332774186512034
1.37	0.3434603555453987
1.3800000000000001	0.3325867280277041
1.3900000000000001	0.32560505611737217
1.4000000000000001	0.31321525899795416
1.4100000000000001	0.30304004678599616
1.42	0.3109025076157861
1.43	0.3214384985008596
1.44	0.3278976541566253
1.45	0.32156463974127736
1.46	0.3265579827780055
1.47	0.3248679600935978
1.48	0.3350804257039004
1.49	0.3332167071796209
1.5	0.3367173133075339
1.51	0.344188055655246
1.52	0.33872163234451386
1.53	0.32747072414989825
1.54	0.3066466997682348
1.55	0.30099400549804417
1.56	0.29454539494875426
1.57	0.30063904809105574
1.58	0.30963613904547277
1.59	0.33243664365053927
1.6	0.3175951054891652
1.61	0.3177502156244948
1.62	0.3166977384167023
1.6300000000000001	0.3150675424612884
1.6400000000000001	0.31421921972416816
1.6500000000000001	0.3057318658348382
1.6600000000000001	0.30457318424682284
1.6700000000000002	0.30209663854523516
1.68	0.29780267753921763
1.69	0.29152230152995495
1.7	0.2833396190494771
1.71	0.2736876305210527
1.72	0.2637649904447635
1.73	0.2559790307006098
1.74	0.2589404864734868
1.75	0.25578689573188296
1.76	0.2616786579063917
1.77	0.27506768138848253
1.78	0.28138028857739605
1.79	0.29521944689324475
1.8	0.29973163173255774
1.81	0.3033336603154217
1.82	0.2971612983451279
1.83	0.3070938433036025
1.84	0.3072151769043348
1.85	0.30608445136807966
1.86	0.2952312672301117
1.87	0.284468673975938
1.8800000000000001	0.27410240382050316
1.8900000000000001	0.27063357957116746
1.9000000000000001	0.26630856206539627
1.9100000000000001	0.2686078880100665
1.9200000000000002	0.26365086113773983
1.93	0.25870292714441684
1.94	0.25407959120739665
1.95	0.2502788106182897
1.96	0.2479496804429011
1.97	0.2546382239031442
1.98	0.25704717864114335
