#wave spectrum spectrum_w_rand error_w_floor
2.4 2.865602017455105e-05 0.00038894179735777363 0.0005475091153362551
2.4004999999999996 2.8489839005870836e-05 0.00025157630597398616 0.00048554380302674293
2.401505 2.8205229559252973e-05 -0.0013326721449089716 0.00045208377464063217
2.40251 2.9942725377615344e-05 0.00016946313103779464 0.0004315348951543226
2.4035149999999996 3.16802211958589e-05 -9.642533723658563e-05 0.00041315252057752517
2.4045199999999998 3.341771701421973e-05 0.0007352476534282209 0.00039520953989567384
2.405525 3.234078404080659e-05 0.0007938426548786339 0.0003736396375314682
2.4065299999999996 3.0536030508448036e-05 -0.00032590665380164856 0.0003530500546360204
2.4075349999999998 2.8731276975980996e-05 -0.00039337310261520624 0.0003349179222980782
2.40854 2.7689569176881572e-05 0.0003166992622698789 0.00031974155472767424
2.409545 2.7245345620764888e-05 0.00014431179363741563 0.0003070174543592142
2.4105499999999997 2.6801122064567834e-05 -0.0003734326758861578 0.0002965177418346827
2.411555 2.810226239135774e-05 -0.0005764491369948795 0.00028954964207431386
2.41256 3.306520304050919e-05 -0.000666561169300683 0.00028676025359817593
2.4135649999999997 3.8028143689416853e-05 0.00020357084470299823 0.0002843429821766045
2.41457 4.239156234087746e-05 -0.00032917626043742226 0.0002803411747598467
2.415575 3.9893496730983534e-05 -0.0001598953041814025 0.00027093595091148587
2.4165799999999997 3.7395431120774236e-05 2.7493338094665697e-05 0.0002610991516458491
2.417585 3.489736551086359e-05 0.00031261383035144895 0.0002515028326437798
2.41859 3.432356521196361e-05 -0.00037329205744401217 0.00024165544760247295
2.4195949999999997 3.413404872418645e-05 0.0002287843602282377 0.00023241602513217988
2.4206 3.394453223609267e-05 0.00046118542347297535 0.00022405836143922638
2.421605 3.319152464114704e-05 -0.00044418227520103237 0.0002166539823846959
2.4226099999999997 3.203436852626712e-05 -2.0392823483264743e-05 0.00021012553684072644
2.423615 3.0877212411307384e-05 4.8841919694118885e-05 0.0002044506536977836
2.42462 3.129553684685685e-05 1.1337501921820871e-05 0.00020025749569707837
2.4256249999999997 3.496021602723835e-05 0.00010792905161663172 0.00019779972912633046
2.42663 3.8624895207620884e-05 -9.37415918461301e-06 0.00019545143600160233
2.427635 4.174772096026913e-05 2.8774947821910258e-05 0.0001921578912452224
2.4286399999999997 3.729378240695239e-05 -0.00027643465752450825 0.00018558181631069687
2.429645 3.28398438536341e-05 0.00013790569056666585 0.00017918128017535415
2.43065 2.838590530032115e-05 -3.6103332297991725e-05 0.00017392404448715067
2.4316549999999997 3.024489729486223e-05 0.00026176003701954063 0.00017207789930912465
2.43266 3.3659110739768535e-05 -7.403415948475173e-05 0.0001716052723834327
2.433665 3.707332418537753e-05 0.0002745708361622446 0.00017135367174227924
2.4346699999999997 3.7877454427546384e-05 2.2078670045869484e-05 0.0001703605557525891
2.435675 3.639952565103453e-05 -2.8328352065270184e-05 0.00016866585005297077
2.43668 3.4921596874715173e-05 8.53233727500287e-05 0.00016685697753755164
2.4376849999999997 3.46024661494131e-05 2.054625699543574e-05 0.00016520989942498854
2.43869 3.7576420007824744e-05 -1.4880204852795351e-05 0.00016387026294974777
2.439695 4.0550373866377035e-05 0.00017430730533679107 0.00016242350017958623
2.4406999999999996 4.3524327724667274e-05 0.00030326319846588756 0.0001604166257125467
2.441705 3.8868219877570864e-05 1.2477386502453234e-05 0.00015608725148489106
2.44271 3.4077303479961626e-05 -0.00014650467598142458 0.00015171553187193313
2.4437149999999996 2.9286387082310175e-05 0.00016615235144997262 0.0001480425505309793
