Wavelength(micron)	Fp/F*(Blackbody & heat fully redistribution ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
11.70	55.48	55.48
11.71	55.50	55.50
11.72	55.51	55.51
11.73	55.53	55.53
11.74	55.54	55.54
11.75	55.56	55.56
11.76	55.57	55.57
11.77	55.59	55.59
11.78	55.61	55.61
11.79	55.62	55.62
11.80	55.64	55.64
11.81	55.65	55.65
11.82	55.67	55.67
11.83	55.68	55.68
11.84	55.70	55.70
11.85	55.71	55.71
11.86	55.73	55.73
11.87	55.74	55.74
11.88	55.76	55.76
11.89	55.77	55.77
11.90	55.79	55.79
11.91	55.80	55.80
11.92	55.82	55.82
11.93	55.84	55.84
11.94	55.85	55.85
11.95	55.87	55.87
11.96	55.88	55.88
11.97	55.90	55.90
11.98	55.91	55.91
11.99	55.93	55.93
12.00	55.94	55.94
12.01	55.96	55.96
12.02	55.97	55.97
12.03	55.99	55.99
12.04	56.00	56.00
12.05	56.02	56.02
12.06	56.03	56.03
12.07	56.05	56.05
12.08	56.06	56.06
12.09	56.07	56.07
12.10	56.09	56.09
12.11	56.10	56.10
12.12	56.12	56.12
12.13	56.13	56.13
12.14	56.15	56.15
12.15	56.16	56.16
12.16	56.18	56.18
12.17	56.19	56.19
12.18	56.21	56.21
12.19	56.22	56.22
12.20	56.24	56.24
12.21	56.25	56.25
12.22	56.27	56.27
12.23	56.28	56.28
12.24	56.29	56.29
12.25	56.31	56.31
12.26	56.32	56.32
12.27	56.34	56.34
12.28	56.35	56.35
12.29	56.37	56.37
12.30	56.38	56.38
