Wavelength(micron)	Fp/F*(Blackbody & heat fully redistribution ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
2.91	16.43	16.43
2.92	16.54	16.54
2.93	16.64	16.64
2.94	16.74	16.74
2.95	16.85	16.85
2.96	16.95	16.95
2.97	17.06	17.06
2.98	17.16	17.16
2.99	17.26	17.26
3.00	17.37	17.37
3.01	17.47	17.47
3.02	17.57	17.57
3.03	17.68	17.68
3.04	17.78	17.78
3.05	17.88	17.88
3.06	17.98	17.98
3.07	18.09	18.09
3.08	18.19	18.19
3.09	18.29	18.29
3.10	18.39	18.39
3.11	18.49	18.49
3.12	18.59	18.59
3.13	18.70	18.70
3.14	18.80	18.80
3.15	18.90	18.90
3.16	19.00	19.00
3.17	19.10	19.10
3.18	19.20	19.20
3.19	19.30	19.30
3.20	19.40	19.40
3.21	19.50	19.50
3.22	19.60	19.60
3.23	19.70	19.70
3.24	19.80	19.80
3.25	19.89	19.89
3.26	19.99	19.99
3.27	20.09	20.09
3.28	20.19	20.19
3.29	20.29	20.29
3.30	20.39	20.39
3.31	20.48	20.48
3.32	20.58	20.58
3.33	20.68	20.68
3.34	20.78	20.78
3.35	20.87	20.87
3.36	20.97	20.97
3.37	21.06	21.06
3.38	21.16	21.16
3.39	21.26	21.26
3.40	21.35	21.35
3.41	21.45	21.45
3.42	21.54	21.54
3.43	21.64	21.64
3.44	21.73	21.73
3.45	21.83	21.83
3.46	21.92	21.92
3.47	22.02	22.02
3.48	22.11	22.11
3.49	22.21	22.21
3.50	22.30	22.30
3.51	22.39	22.39
3.52	22.49	22.49
3.53	22.58	22.58
3.54	22.67	22.67
3.55	22.76	22.76
3.56	22.86	22.86
3.57	22.95	22.95
3.58	23.04	23.04
3.59	23.13	23.13
3.60	23.22	23.22
3.61	23.31	23.31
3.62	23.41	23.41
3.63	23.50	23.50
3.64	23.59	23.59
3.65	23.68	23.68
3.66	23.77	23.77
3.67	23.86	23.86
3.68	23.95	23.95
3.69	24.04	24.04
3.70	24.13	24.13
3.71	24.22	24.22
3.72	24.30	24.30
3.73	24.39	24.39
3.74	24.48	24.48
3.75	24.57	24.57
3.76	24.66	24.66
3.77	24.74	24.74
3.78	24.83	24.83
3.79	24.92	24.92
3.80	25.01	25.01
3.81	25.09	25.09
3.82	25.18	25.18
3.83	25.27	25.27
3.84	25.35	25.35
3.85	25.44	25.44
3.86	25.52	25.52
3.87	25.61	25.61
3.88	25.70	25.70
3.89	25.78	25.78
3.90	25.87	25.87
3.91	25.95	25.95
3.92	26.04	26.04
3.93	26.12	26.12
3.94	26.20	26.20
3.95	26.29	26.29
3.96	26.37	26.37
3.97	26.45	26.45
3.98	26.54	26.54
3.99	26.62	26.62
4.00	26.70	26.70
4.01	26.79	26.79
4.02	26.87	26.87
4.03	26.95	26.95
4.04	27.03	27.03
4.05	27.11	27.11
4.06	27.20	27.20
4.07	27.28	27.28
4.08	27.36	27.36
4.09	27.44	27.44
4.10	27.52	27.52
4.11	27.60	27.60
4.12	27.68	27.68
4.13	27.76	27.76
4.14	27.84	27.84
4.15	27.92	27.92
4.16	28.00	28.00
4.17	28.08	28.08
4.18	28.16	28.16
4.19	28.24	28.24
4.20	28.31	28.31
4.21	28.39	28.39
4.22	28.47	28.47
4.23	28.55	28.55
4.24	28.63	28.63
4.25	28.70	28.70
4.26	28.78	28.78
4.27	28.86	28.86
4.28	28.94	28.94
4.29	29.01	29.01
4.30	29.09	29.09
4.31	29.17	29.17
4.32	29.24	29.24
4.33	29.32	29.32
4.34	29.39	29.39
4.35	29.47	29.47
4.36	29.54	29.54
4.37	29.62	29.62
4.38	29.69	29.69
4.39	29.77	29.77
