lamb/microns	ssa
0.01	0.5792575415550515
0.02	0.6287125952095245
0.03	0.682586177512628
0.04	0.7256468176855857
0.05	0.7580133985890616
0.060000000000000005	0.7858781371711184
0.06999999999999999	0.807759501811206
0.08	0.8197605712239515
0.09	0.831106299705693
0.09999999999999999	0.8516353082892526
0.11	0.86598034756178
0.12	0.8588157498900024
0.13	0.8783755962059808
0.14	0.8777275099086195
0.15000000000000002	0.8908371719567454
0.16	0.9025937149665906
0.17	0.8942844593071381
0.18000000000000002	0.9006154409328829
0.19	0.9174958521302481
0.2	0.9159402682703588
0.21000000000000002	0.9087425623050766
0.22	0.916951390558982
0.23	0.9226434864647373
0.24000000000000002	0.930575275280621
0.25	0.9167209032537106
0.26	0.9358803338066197
0.27	0.925844335321561
0.28	0.9302344198735133
0.29000000000000004	0.9306601074294215
0.3	0.7211857201559718
0.31	0.6768536517272258
0.32	0.6540879626276764
0.33	0.626456496880112
0.34	0.627717059846151
0.35000000000000003	0.6340590549383887
0.36000000000000004	0.6208286688720073
0.37	0.6068771404345037
0.38	0.5985717900730945
0.39	0.5936704299659138
0.4	0.6060492121543938
0.41000000000000003	0.6207384162198171
0.42000000000000004	0.6282005899750971
0.43	0.6196799232202266
0.44	0.6033824374134601
0.45	0.5946808757423899
0.46	0.5986795317687059
0.47000000000000003	0.605892336506865
0.48000000000000004	0.6129876690100448
0.49	0.628174565153354
0.5	0.6339863955344315
0.51	0.635257658271408
0.52	0.6375248753277483
0.53	0.6331786044758497
0.54	0.6258790232425854
0.55	0.6143715500112314
0.56	0.6252848922615151
0.5700000000000001	0.6156808961653518
0.5800000000000001	0.6322172790503371
0.59	0.6430207493419918
0.6	0.6472271671481548
0.61	0.6679165187662568
0.62	0.660735289543035
0.63	0.6751597134558376
0.64	0.6819657681716895
0.65	0.6769588679942364
0.66	0.6780995971824413
0.67	0.6752046557227034
0.68	0.6653848654258063
0.6900000000000001	0.6543616237110795
0.7000000000000001	0.6600615661476475
0.7100000000000001	0.6497036811462181
0.72	0.6413059181760449
0.73	0.653117051321802
0.74	0.6514600879433028
0.75	0.6436018379093418
0.76	0.6526181996418868
0.77	0.6712038682045435
0.78	0.6760062786113263
0.79	0.6731670422338039
0.8	0.6829595964734929
0.81	0.7027001965857047
0.8200000000000001	0.7099057660605534
0.8300000000000001	0.708202680012516
0.8400000000000001	0.707236217904471
0.85	0.7217771109665589
0.86	0.7324152802577033
0.87	0.7321889475774652
0.88	0.7241975322611219
0.89	0.7193904629320909
0.9	0.7270026914365993
0.91	0.735429028806346
0.92	0.7354420347925543
0.93	0.7259120604051877
0.9400000000000001	0.7151700025276321
0.9500000000000001	0.7078106894827542
0.9600000000000001	0.7107819686837471
0.97	0.7150560783268661
0.98	0.716173806611566
0.99	0.7068379864947585
1.0	0.7010047083231002
1.01	0.6913302215055898
1.02	0.6857829001343452
1.03	0.6869156252128904
1.04	0.6926875327784615
1.05	0.6953050362714515
1.06	0.6922317698591889
1.07	0.6986584068246873
1.08	0.6972890968900195
1.09	0.6931546409724693
1.1	0.6922424520284173
1.11	0.6970331181304257
1.12	0.7092485348399934
1.1300000000000001	0.711348074146172
1.1400000000000001	0.7136678508264944
1.1500000000000001	0.7283305542309155
1.1600000000000001	0.7346222701534733
1.17	0.7342655394876202
1.18	0.7319785651363765
1.19	0.7302656116486013
1.2	0.7328570206931971
1.21	0.7451142767319759
1.22	0.754783062118843
1.23	0.747481145842572
1.24	0.767271641817817
1.25	0.778110097492778
1.26	0.780362896019253
1.27	0.7850787051182896
1.28	0.778056938045707
1.29	0.7697814152904893
1.3	0.7753371953590208
1.31	0.7896469998440421
1.32	0.7944488735244346
1.33	0.7920843405974172
1.34	0.7916823936010345
1.35	0.801363004458682
1.36	0.8035886482947806
1.37	0.8140017915016006
1.3800000000000001	0.8034013852602773
1.3900000000000001	0.7963110354849109
1.4000000000000001	0.7831551481165799
1.4100000000000001	0.7717765714740533
1.42	0.7806154028602399
1.43	0.7919701013813196
1.44	0.7986644139406266
1.45	0.7921027441564382
1.46	0.7972922335432047
1.47	0.7955491225127256
1.48	0.8058793534826967
1.49	0.8040300693035193
1.5	0.8074905739469186
1.51	0.8146925112130389
1.52	0.8094470600687828
1.53	0.7982280393337502
1.54	0.7758707774704106
1.55	0.7694235815337055
1.56	0.7618609832713311
1.57	0.769013114710489
1.58	0.7792132651524769
1.59	0.8032513412381261
1.6	0.787891565146962
1.61	0.7880575626023545
1.62	0.7869288868845524
1.6300000000000001	0.7851698615025626
1.6400000000000001	0.7842492751523082
1.6500000000000001	0.7748386915914488
1.6600000000000001	0.7735252594260774
1.6700000000000002	0.7706943827018983
1.68	0.7657089981233542
1.69	0.758237643753214
1.7	0.748173393234083
1.71	0.7358035318938221
1.72	0.7224990309015638
1.73	0.7116235964160755
1.74	0.7158063969985039
1.75	0.7113502363103427
1.76	0.719623153841175
1.77	0.7376061123584091
1.78	0.7457066870552247
1.79	0.7626620194288873
1.8	0.7679607422468624
1.81	0.772112420399181
1.82	0.7649558533468345
1.83	0.7763736534309713
1.84	0.7765099319975621
1.85	0.7752369812166364
1.86	0.7626760444328423
1.87	0.7495847360977475
1.8800000000000001	0.7363465035287111
1.8900000000000001	0.7317733595270575
1.9000000000000001	0.7259678624478918
1.9100000000000001	0.7290687003397813
1.9200000000000002	0.7223424272401167
1.93	0.7154729760545299
1.94	0.7089104552614589
1.95	0.7034092487180158
1.96	0.6999898882040696
1.97	0.7097108797641185
1.98	0.7131388784922849
1.99	0.7206649587412755
2.0	0.7293254408086088
