lamb/microns	Al2O3	Iron0.1%	Iron0.2%	Iron0.5%	Iron1%	Iron2%	Iron5%	Blackbody
26.570000000000004	87.15888281198256	87.23069126510764	87.29101512298467	87.42717330951619	87.55960672186377	87.6435618613671	87.46861091389144	87.69738992864941
26.580000000000002	87.10431616309148	87.1761873708487	87.23658571143966	87.37301827509208	87.50603407817809	87.5914833906888	87.42292189143575	87.70025824503273
26.590000000000003	87.0475432712273	87.11947683285128	87.17994965553453	87.31665827998373	87.45026326573647	87.53723020614613	87.3751819124117	87.70312442402097
26.6	86.98844675816446	87.06044227675706	87.12098960563927	87.25797613571018	87.39217756703756	87.48068701752572	87.32528243395305	87.70598846799712
26.610000000000003	86.92690029661095	86.99895737976861	87.05957926589586	87.19684572078532	87.33165136891249	87.42172975011071	87.27310664495297	87.70885037934046
26.62	86.86276773687906	86.93488599730645	86.99558252101444	87.13313110856679	87.26854929359459	87.36022468566415	87.21852865400375	87.711710160427
26.630000000000003	86.79590212885843	86.86808118495972	86.92885245837277	87.06668559051033	87.20272522553707	87.2960275002471	87.16141257939067	87.71456781362899
26.64	86.72614462424721	86.79838410068372	86.85923027037191	86.99735057979483	87.13402121898761	87.22898218402474	87.10161152699403	87.71742334131532
26.650000000000002	86.65332324145399	86.72562276965462	86.78654401945931	86.92495437774295	87.0622662687966	87.15891982570419	87.03896643955326	87.72027674585128
26.660000000000004	86.57725147254487	86.64961069115314	86.71060724519147	86.84931078242488	86.98727492390486	87.08565724124415	86.9733047978755	87.7231280295987
26.67	86.49772670796429	86.57014526320074	86.63121738906015	86.77021751518787	86.90884571932266	87.00899542287401	86.90443915112309	87.7259771949159
26.680000000000003	86.4145284503624	86.48700599627813	86.54815400841169	86.68745443646105	86.82675939802871	86.92871778011468	86.83216544915643	87.72882424415776
26.69	86.32741628354538	86.39995248213513	86.46117674546913	86.60078151686912	86.74077688891637	86.84458813923794	86.75626114487363	87.73166917967562
26.700000000000003	86.23612755610026	86.3087220772376	86.37002301100189	86.50993652322659	86.65063700046724	86.7563484612082	86.67648302836429	87.73451200381737
26.71	86.14037473135335	86.21302725250045	86.27440533429214	86.41463237109365	86.55605378196138	86.6637162303449	86.59256474721107	87.73735271892744
26.720000000000002	86.03984234563431	86.11255255126902	86.17400832135772	86.31455408588896	86.45671349437136	86.56638145636292	86.50421395808316	87.74019132734678
26.73	85.93418350486976	86.00695108555774	86.06848515144003	86.20935530261085	86.35227112116958	86.46400322062618	86.41110904342098	87.74302783141285
26.740000000000002	85.823015834713	85.89584048573623	85.95745352694242	86.09865421940077	86.24234633449746	86.3562056827881	86.31289531293508	87.74586223345976
26.750000000000004	85.7059167809297	85.77879820036033	85.8404909735135	85.982028901701	86.12651881370243	86.242573445698	86.20918059206552	87.74869453581812
26.76	85.5824181335656	85.6553560196468	85.71712936376663	85.85901181056532	86.00432279010904	86.12264615349065	86.09953007748229	87.75152474081507
26.770000000000003	85.45199961911892	85.52499366677912	85.58684850881487	85.72908339938033	85.87524066265163	85.9959121687678	85.98346031180813	87.75435285077435
26.78	85.31408136767725	85.38713126396009	85.44906862452399	85.59166458599395	85.738695491816	85.8618011378811	85.86043209424436	87.75717886801633
26.790000000000003	85.16801501424126	85.24112043237517	85.30314143163054	85.446107859509	85.59404213169883	85.71967520604731	85.72984209826842	87.76000279485787
26.8	85.01307313181967	85.08623372357803	85.14833958721256	85.29168671936185	85.44055669848275	85.56881858297348	85.59101290876679	87.76282463361247
26.810000000000002	84.84843661363752	84.92165199954381	84.98384406472577	85.12758306405821	85.2774239935415	85.40842508017379	85.44318111436309	87.76564438659022
26.820000000000004	84.67317951639046	84.74644927319743	84.80872899436807	84.95287204152187	85.10372239418275	85.23758313671665	85.28548299000504	87.7684620560978
26.830000000000002	84.48625073667677	84.55957438138402	84.62194333567804	84.76650373319721	84.91840558549876	85.05525771160315	85.11693717124085	87.77127764443851
26.840000000000003	84.28645170538964	84.35982867484667	84.42228856684886	84.56728085667707	84.7202803197889	84.86026823529862	84.9364235424275	87.77409115391225
26.85	84.07240903095018	84.14583865579979	84.20839132123075	84.3538314176923	84.50797913657271	84.65126156127336	84.74265731813679	87.77690258681554
26.860000000000003	83.84254067393414	83.91602214526287	83.9786695530277	84.1245748939276	84.27992662850535	84.42667851312378	84.53415696352299	87.77971194544158
26.87	83.59501375138251	83.66854607791313	83.73129032972942	83.877680048799	84.03429735509684	84.18471214277936	84.30920413556255	87.78251923208006
26.880000000000003	83.3276913859282	83.40127333886839	83.46411666538545	83.61101179008537	83.76896282419015	83.92325513805163	84.06579317248767	87.78532444901751
26.89	83.0380650355335	83.11169507719603	83.17463982909997	83.32206350886011	83.48142398356971	83.63983284692316	83.80156672012183	87.78812759853696
