Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
2.92	16.79	21.56
2.93	16.85	21.62
2.94	16.91	21.68
2.95	16.98	21.74
2.96	17.04	21.80
2.97	17.10	21.86
2.98	17.17	21.92
2.99	17.23	21.98
3.00	17.29	22.04
3.01	17.36	22.10
3.02	17.42	22.16
3.03	17.48	22.22
3.04	17.54	22.28
3.05	17.61	22.34
3.06	17.67	22.40
3.07	17.73	22.46
3.08	17.79	22.52
3.09	17.86	22.58
3.10	17.92	22.64
3.11	17.98	22.70
3.12	18.04	22.76
3.13	18.11	22.81
3.14	18.17	22.87
3.15	18.23	22.93
3.16	18.29	22.99
3.17	18.35	23.05
3.18	18.42	23.11
3.19	18.48	23.17
3.20	18.54	23.23
3.21	18.60	23.29
3.22	18.66	23.34
3.23	18.73	23.40
3.24	18.78	23.45
3.25	18.80	23.48
3.26	18.83	23.51
3.27	18.85	23.54
3.28	18.87	23.56
3.29	18.90	23.59
3.30	18.92	23.62
3.31	18.94	23.64
3.32	18.97	23.67
3.33	18.99	23.69
3.34	19.01	23.72
3.35	19.03	23.74
3.36	19.05	23.77
3.37	19.07	23.79
3.38	19.09	23.82
3.39	19.11	23.84
3.40	19.13	23.86
3.41	19.15	23.89
3.42	19.17	23.91
3.43	19.19	23.93
3.44	19.27	24.00
3.45	19.34	24.07
3.46	19.41	24.14
3.47	19.49	24.21
3.48	19.56	24.27
3.49	19.64	24.34
3.50	19.71	24.41
3.51	19.79	24.48
3.52	19.86	24.55
3.53	19.94	24.62
3.54	20.01	24.69
3.55	20.09	24.76
3.56	20.16	24.82
3.57	20.24	24.89
3.58	20.31	24.96
3.59	20.38	25.03
3.60	20.46	25.10
3.61	20.53	25.17
3.62	20.61	25.24
3.63	20.68	25.31
3.64	20.76	25.38
3.65	20.91	25.51
3.66	21.07	25.65
3.67	21.22	25.78
3.68	21.37	25.92
3.69	21.53	26.06
3.70	21.68	26.19
3.71	21.84	26.33
3.72	22.00	26.47
3.73	22.15	26.61
3.74	22.31	26.75
3.75	22.47	26.89
3.76	22.66	27.06
3.77	22.90	27.26
3.78	23.13	27.47
3.79	23.37	27.67
3.80	23.60	27.88
3.81	23.84	28.09
3.82	24.08	28.30
3.83	24.32	28.51
3.84	24.58	28.74
3.85	24.85	28.97
3.86	25.12	29.21
3.87	25.40	29.45
3.88	25.67	29.69
3.89	25.94	29.93
3.90	26.22	30.17
3.91	26.50	30.41
3.92	26.79	30.67
3.93	27.08	30.93
3.94	27.38	31.18
3.95	27.67	31.44
3.96	27.97	31.70
3.97	28.26	31.96
3.98	28.56	32.22
3.99	28.86	32.48
4.00	29.15	32.74
4.01	29.44	33.00
4.02	29.74	33.25
4.03	30.03	33.51
4.04	30.33	33.77
4.05	30.62	34.03
4.06	30.92	34.29
4.07	31.22	34.56
4.08	31.52	34.82
4.09	31.82	35.09
4.10	32.12	35.36
4.11	32.43	35.62
4.12	32.73	35.89
4.13	33.04	36.16
4.14	33.36	36.45
4.15	33.73	36.77
4.16	34.11	37.10
4.17	34.49	37.44
4.18	34.89	37.79
4.19	35.34	38.18
4.20	35.80	38.58
4.21	36.25	38.98
4.22	36.69	39.37
4.23	37.11	39.74
4.24	37.54	40.11
4.25	37.96	40.49
4.26	38.39	40.86
4.27	38.77	41.20
4.28	39.15	41.53
4.29	39.53	41.87
4.30	39.91	42.20
4.31	40.29	42.54
4.32	40.77	42.96
4.33	41.46	43.57
4.34	42.19	44.20
4.35	43.13	45.03
4.36	44.08	45.85
4.37	45.09	46.74
4.38	46.37	47.85
4.39	47.33	48.69
4.40	47.53	48.87
4.41	47.72	49.05
4.42	47.92	49.23
4.43	48.12	49.41
4.44	48.32	49.59
4.45	48.52	49.77
4.46	48.71	49.95
4.47	48.91	50.13
4.48	49.14	50.34
4.49	49.40	50.57
4.50	49.66	50.81
4.51	49.92	51.04
4.52	50.18	51.28
4.53	50.45	51.51
4.54	50.71	51.75
4.55	50.97	51.99
4.56	51.23	52.22
4.57	51.80	52.72
4.58	52.37	53.22
4.59	52.94	53.73
4.60	53.51	54.23
4.61	53.76	54.46
4.62	53.97	54.65
4.63	54.18	54.85
4.64	54.40	55.04
4.65	54.61	55.24
4.66	54.83	55.43
4.67	55.04	55.63
4.68	55.26	55.82
4.69	55.47	56.02
4.70	55.63	56.17
4.71	55.76	56.29
4.72	55.88	56.40
4.73	56.01	56.52
4.74	56.13	56.64
4.75	56.26	56.76
4.76	56.38	56.87
4.77	56.51	56.99
4.78	56.63	57.11
4.79	56.75	57.22
4.80	56.88	57.34
4.81	57.00	57.46
4.82	57.13	57.57
4.83	57.25	57.69
4.84	57.37	57.81
4.85	57.50	57.92
4.86	57.62	58.04
4.87	57.74	58.15
4.88	57.87	58.27
4.89	57.97	58.37
4.90	58.07	58.46
4.91	58.16	58.55
4.92	58.25	58.63
4.93	58.34	58.72
4.94	58.43	58.81
4.95	58.52	58.90
4.96	58.61	58.98
4.97	58.70	59.07
4.98	58.79	59.16
4.99	58.88	59.24
5.00	58.97	59.33
5.01	59.06	59.42
5.02	59.15	59.50
5.03	59.24	59.59
5.04	59.33	59.67
5.05	59.42	59.76
5.06	59.50	59.84
5.07	59.59	59.93
5.08	59.68	60.01
5.09	59.77	60.10
5.10	59.86	60.18
5.11	59.95	60.27
5.12	60.03	60.35
5.13	60.10	60.42
5.14	60.17	60.49
5.15	60.24	60.55
5.16	60.31	60.62
5.17	60.38	60.69
5.18	60.45	60.76
5.19	60.52	60.83
5.20	60.59	60.90
5.21	60.66	60.97
5.22	60.73	61.04
5.23	60.80	61.10
5.24	60.87	61.17
5.25	60.94	61.24
5.26	61.01	61.31
5.27	61.07	61.37
5.28	61.14	61.44
5.29	61.21	61.51
5.30	61.28	61.58
5.31	61.35	61.64
5.32	61.42	61.71
5.33	61.49	61.78
5.34	61.57	61.85
5.35	61.64	61.93
5.36	61.72	62.00
5.37	61.80	62.08
5.38	61.88	62.15
5.39	61.95	62.23
5.40	62.03	62.30
5.41	62.11	62.38
5.42	62.19	62.45
5.43	62.26	62.53
5.44	62.34	62.60
5.45	62.42	62.68
5.46	62.49	62.75
5.47	62.57	62.82
5.48	62.64	62.90
5.49	62.72	62.97
5.50	62.79	63.04
5.51	62.87	63.11
5.52	62.94	63.19
5.53	63.02	63.26
5.54	63.09	63.33
5.55	63.17	63.40
5.56	63.24	63.47
5.57	63.32	63.54
5.58	63.39	63.62
5.59	63.46	63.69
5.60	63.54	63.76
5.61	63.61	63.83
5.62	63.68	63.90
5.63	63.76	63.97
5.64	63.83	64.04
5.65	63.90	64.11
5.66	63.98	64.18
5.67	64.05	64.25
5.68	64.12	64.32
5.69	64.19	64.39
