Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
11.71	73.67	74.45
11.72	73.73	74.50
11.73	73.78	74.55
11.74	73.84	74.60
11.75	73.89	74.66
11.76	73.95	74.71
11.77	74.00	74.76
11.78	74.06	74.81
11.79	74.12	74.86
11.80	74.17	74.91
11.81	74.23	74.97
11.82	74.28	75.02
11.83	74.34	75.07
11.84	74.40	75.12
11.85	74.45	75.17
11.86	74.51	75.23
11.87	74.56	75.28
11.88	74.62	75.33
11.89	74.68	75.38
11.90	74.72	75.43
11.91	74.77	75.47
11.92	74.81	75.51
11.93	74.86	75.55
11.94	74.90	75.59
11.95	74.94	75.63
11.96	74.99	75.67
11.97	75.03	75.72
11.98	75.08	75.76
11.99	75.12	75.80
12.00	75.17	75.84
12.01	75.21	75.88
12.02	75.25	75.92
12.03	75.30	75.96
12.04	75.34	76.00
12.05	75.39	76.04
12.06	75.43	76.09
12.07	75.47	76.13
12.08	75.52	76.17
12.09	75.56	76.21
12.10	75.61	76.25
12.11	75.65	76.29
12.12	75.69	76.33
12.13	75.74	76.37
12.14	75.78	76.42
12.15	75.83	76.46
12.16	75.88	76.50
12.17	75.93	76.55
12.18	75.97	76.59
12.19	76.02	76.64
12.20	76.07	76.68
12.21	76.12	76.72
12.22	76.16	76.77
12.23	76.21	76.81
12.24	76.26	76.86
12.25	76.30	76.90
12.26	76.35	76.94
12.27	76.40	76.99
12.28	76.45	77.03
12.29	76.49	77.08
12.30	76.54	77.12
