Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
11.70	77.61	77.61
11.71	77.62	77.62
11.72	77.63	77.63
11.73	77.65	77.65
11.74	77.66	77.66
11.75	77.68	77.68
11.76	77.69	77.69
11.77	77.70	77.70
11.78	77.72	77.72
11.79	77.73	77.73
11.80	77.75	77.75
11.81	77.76	77.76
11.82	77.77	77.77
11.83	77.79	77.79
11.84	77.80	77.80
11.85	77.82	77.82
11.86	77.83	77.83
11.87	77.84	77.84
11.88	77.86	77.86
11.89	77.87	77.87
11.90	77.88	77.88
11.91	77.90	77.90
11.92	77.91	77.91
11.93	77.93	77.93
11.94	77.94	77.94
11.95	77.95	77.95
11.96	77.97	77.97
11.97	77.98	77.98
11.98	77.99	77.99
11.99	78.01	78.01
12.00	78.02	78.02
12.01	78.03	78.03
12.02	78.05	78.05
12.03	78.06	78.06
12.04	78.07	78.07
12.05	78.09	78.09
12.06	78.10	78.10
12.07	78.11	78.11
12.08	78.13	78.13
12.09	78.14	78.14
12.10	78.15	78.15
12.11	78.17	78.17
12.12	78.18	78.18
12.13	78.19	78.19
12.14	78.21	78.21
12.15	78.22	78.22
12.16	78.23	78.23
12.17	78.25	78.25
12.18	78.26	78.26
12.19	78.27	78.27
12.20	78.28	78.28
12.21	78.30	78.30
12.22	78.31	78.31
12.23	78.32	78.32
12.24	78.34	78.34
12.25	78.35	78.35
12.26	78.36	78.36
12.27	78.37	78.37
12.28	78.39	78.39
12.29	78.40	78.40
12.30	78.41	78.41
