Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
2.93	36.75	36.75
2.94	36.89	36.89
2.95	37.02	37.02
2.96	37.16	37.16
2.97	37.30	37.30
2.98	37.44	37.44
2.99	37.58	37.58
3.00	37.71	37.71
3.01	37.85	37.85
3.02	37.99	37.99
3.03	38.12	38.12
3.04	38.26	38.26
3.05	38.39	38.39
3.06	38.52	38.52
3.07	38.66	38.66
3.08	38.79	38.79
3.09	38.92	38.92
3.10	39.05	39.05
3.11	39.19	39.19
3.12	39.32	39.32
3.13	39.45	39.45
3.14	39.58	39.58
3.15	39.71	39.71
3.16	39.83	39.83
3.17	39.96	39.96
3.18	40.09	40.09
3.19	40.22	40.22
3.20	40.35	40.35
3.21	40.47	40.47
3.22	40.60	40.60
3.23	40.72	40.72
3.24	40.85	40.85
3.25	40.97	40.97
3.26	41.10	41.10
3.27	41.22	41.22
3.28	41.34	41.34
3.29	41.46	41.46
3.30	41.59	41.59
3.31	41.71	41.71
3.32	41.83	41.83
3.33	41.95	41.95
3.34	42.07	42.07
3.35	42.19	42.19
3.36	42.31	42.31
3.37	42.43	42.43
3.38	42.55	42.55
3.39	42.66	42.66
3.40	42.78	42.78
3.41	42.90	42.90
3.42	43.02	43.02
3.43	43.13	43.13
3.44	43.25	43.25
3.45	43.36	43.36
3.46	43.48	43.48
3.47	43.59	43.59
3.48	43.71	43.71
3.49	43.82	43.82
3.50	43.93	43.93
3.51	44.05	44.05
3.52	44.16	44.16
3.53	44.27	44.27
3.54	44.38	44.38
3.55	44.49	44.49
3.56	44.60	44.60
3.57	44.71	44.71
3.58	44.82	44.82
3.59	44.93	44.93
3.60	45.04	45.04
3.61	45.15	45.15
3.62	45.26	45.26
3.63	45.36	45.36
3.64	45.47	45.47
3.65	45.58	45.58
3.66	45.68	45.68
3.67	45.79	45.79
3.68	45.90	45.90
3.69	46.00	46.00
3.70	46.11	46.11
3.71	46.21	46.21
3.72	46.31	46.31
3.73	46.42	46.42
3.74	46.52	46.52
3.75	46.62	46.62
3.76	46.73	46.73
3.77	46.83	46.83
3.78	46.93	46.93
3.79	47.03	47.03
3.80	47.13	47.13
3.81	47.23	47.23
3.82	47.33	47.33
3.83	47.43	47.43
3.84	47.53	47.53
3.85	47.63	47.63
3.86	47.73	47.73
3.87	47.83	47.83
3.88	47.93	47.93
3.89	48.02	48.02
3.90	48.12	48.12
3.91	48.22	48.22
3.92	48.32	48.32
3.93	48.41	48.41
3.94	48.51	48.51
3.95	48.60	48.60
3.96	48.70	48.70
3.97	48.79	48.79
3.98	48.89	48.89
3.99	48.98	48.98
4.00	49.07	49.07
4.01	49.17	49.17
4.02	49.26	49.26
4.03	49.35	49.35
4.04	49.45	49.45
4.05	49.54	49.54
4.06	49.63	49.63
4.07	49.72	49.72
4.08	49.81	49.81
4.09	49.90	49.90
4.10	49.99	49.99
4.11	50.08	50.08
4.12	50.17	50.17
4.13	50.26	50.26
4.14	50.35	50.35
4.15	50.44	50.44
4.16	50.53	50.53
4.17	50.62	50.62
4.18	50.71	50.71
4.19	50.79	50.79
4.20	50.88	50.88
4.21	50.97	50.97
4.22	51.05	51.05
4.23	51.14	51.14
4.24	51.23	51.23
4.25	51.31	51.31
4.26	51.40	51.40
4.27	51.48	51.48
4.28	51.57	51.57
4.29	51.65	51.65
4.30	51.73	51.73
4.31	51.82	51.82
4.32	51.90	51.90
4.33	51.98	51.98
4.34	52.07	52.07
4.35	52.15	52.15
4.36	52.23	52.23
4.37	52.31	52.31
4.38	52.40	52.40
4.39	52.48	52.48
4.40	52.56	52.56
4.41	52.64	52.64
4.42	52.72	52.72
4.43	52.80	52.80
4.44	52.88	52.88
4.45	52.96	52.96
4.46	53.04	53.04
4.47	53.12	53.12
4.48	53.20	53.20
4.49	53.28	53.28
4.50	53.36	53.36
4.51	53.43	53.43
4.52	53.51	53.51
4.53	53.59	53.59
4.54	53.67	53.67
4.55	53.74	53.74
4.56	53.82	53.82
4.57	53.90	53.90
4.58	53.97	53.97
4.59	54.05	54.05
4.60	54.12	54.12
4.61	54.20	54.20
4.62	54.27	54.27
4.63	54.35	54.35
4.64	54.42	54.42
4.65	54.50	54.50
4.66	54.57	54.57
4.67	54.65	54.65
4.68	54.72	54.72
4.69	54.79	54.79
4.70	54.87	54.87
4.71	54.94	54.94
4.72	55.01	55.01
4.73	55.09	55.09
4.74	55.16	55.16
4.75	55.23	55.23
4.76	55.30	55.30
4.77	55.37	55.37
4.78	55.44	55.44
4.79	55.51	55.51
4.80	55.59	55.59
4.81	55.66	55.66
4.82	55.73	55.73
4.83	55.80	55.80
4.84	55.87	55.87
4.85	55.94	55.94
4.86	56.00	56.00
4.87	56.07	56.07
4.88	56.14	56.14
4.89	56.21	56.21
4.90	56.28	56.28
4.91	56.35	56.35
4.92	56.42	56.42
4.93	56.48	56.48
4.94	56.55	56.55
4.95	56.62	56.62
4.96	56.69	56.69
4.97	56.75	56.75
4.98	56.82	56.82
4.99	56.89	56.89
5.00	56.95	56.95
5.01	57.02	57.02
5.02	57.08	57.08
5.03	57.15	57.15
5.04	57.21	57.21
5.05	57.28	57.28
5.06	57.34	57.34
5.07	57.41	57.41
5.08	57.47	57.47
5.09	57.54	57.54
5.10	57.60	57.60
5.11	57.67	57.67
5.12	57.73	57.73
5.13	57.79	57.79
5.14	57.86	57.86
5.15	57.92	57.92
5.16	57.98	57.98
5.17	58.04	58.04
5.18	58.11	58.11
5.19	58.17	58.17
5.20	58.23	58.23
5.21	58.29	58.29
5.22	58.35	58.35
5.23	58.42	58.42
5.24	58.48	58.48
5.25	58.54	58.54
5.26	58.60	58.60
5.27	58.66	58.66
5.28	58.72	58.72
5.29	58.78	58.78
5.30	58.84	58.84
5.31	58.90	58.90
5.32	58.96	58.96
5.33	59.02	59.02
5.34	59.08	59.08
5.35	59.14	59.14
5.36	59.20	59.20
5.37	59.26	59.26
5.38	59.31	59.31
5.39	59.37	59.37
5.40	59.43	59.43
5.41	59.49	59.49
5.42	59.55	59.55
5.43	59.60	59.60
5.44	59.66	59.66
5.45	59.72	59.72
5.46	59.78	59.78
5.47	59.83	59.83
5.48	59.89	59.89
