lamb/microns	Al2O3	Carbon0.1%	Carbon0.2%	Carbon0.5%	Carbon1%	Carbon2%	Carbon5%	Blackbody
14.87	56.97811610931892	57.08720553904532	57.19583480170613	57.5197993877928	58.052177174478345	59.07091063570946	61.710711904110006	81.75021851001554
14.88	57.04089138882261	57.14948776338382	57.25762778639653	57.580147204521396	58.11018394822156	59.124437972697564	61.75211272893058	81.75920508763193
14.89	57.10611548965238	57.21417757612162	57.32178796050008	57.64274583051887	58.17026233913395	59.17972566618589	61.794613826623966	81.768179902346
14.9	57.17766914842712	57.28509511571837	57.392076094611085	57.711185022152534	58.23573869317931	59.239641223037275	61.840089478164394	81.77714297707205
14.91	57.25534807446488	57.36203989489467	57.46829541062803	57.78527859252413	58.306442866418166	59.3040416642557	61.888452162413344	81.78609433466522
14.92	57.33895739178424	57.444820622707105	57.55025811510595	57.86484874199361	58.382212217781934	59.37279007625486	61.93961774511831	81.79503399792185
14.93	57.428311104664864	57.53325468524308	57.63778489453872	57.94972559417479	58.462891204046926	59.44575529806275	61.99350532327303	81.80396198957968
14.94	57.523231600145294	57.62716766200668	57.73070444513788	58.03974676313244	58.548331001343044	59.52281162804497	62.05003707804526	81.8128783323179
14.95	57.62354918442463	57.7263928750809	57.82885303430748	58.13475694929104	58.63838915113653	59.60383854870616	62.109138135717856	81.82178304875741
14.96	57.72910165042331	57.83077096842895	57.932074091278594	58.23460756179547	58.73292922881188	59.68872046825168	62.17073643612927	81.83067616146114
14.97	57.83973387401666	57.94014951494229	58.040217824602614	58.33915636527033	58.831820533143976	59.77734647770397	62.23476260813825	81.83955769293394
14.98	57.95529743668494	58.05438264906493	58.15314086441304	58.44826714911005	58.93493779510238	59.86961012246727	62.30114985167252	81.8484276656231
14.99	58.072123763390415	58.16985970406724	58.26728926049519	58.55854925161409	59.039141608953486	59.962808933446865	62.368138360278564	81.85728610191816
15.0	58.18612022534779	58.282552086340246	58.378697152830846	58.666217514393225	59.14092512723714	60.05392080579482	62.43375505656324	81.8661330241515
15.01	58.29739113652868	58.39256195443641	58.4874646049746	58.771366058152225	59.24037358539531	60.14301628065975	62.49804198030981	81.87496845459823
15.02	58.406035793627574	58.49998657829487	58.59368691625213	58.87408458854021	59.33756831534237	60.230162811402856	62.561039534260004	81.88379241547644
15.03	58.51214878231094	58.60491863599805	58.697454909394565	58.97445865846876	59.43258697151406	60.31542493401567	62.62278656380936	81.8926049289474
15.040000000000001	58.61582026064053	58.70744648853753	58.798855196979495	59.07256991142505	59.52550374097394	60.39886442610824	62.68332043200948	81.90140601711586
15.05	58.71713622168073	58.80765443451396	58.89797042852304	59.16849630740435	59.616389538903334	60.48054045537063	62.74267709020177	81.91019570202992
15.06	58.816178737094916	58.90562294650097	58.99487951988155	59.262312332927664	59.705312190674334	60.56050971832861	62.80089114458112	81.91897400568162
15.07	58.91302618335624	59.00142889063187	59.08965786645828	59.3540891964673	59.7923366015917	60.638826570140665	62.857995918965266	81.92774095000668
15.08	59.00775345203809	59.09514573081524	59.18237754156482	59.44389501047688	59.877524915288625	60.71554314611798	62.91402351402343	81.93649655688505
15.09	59.100432145506964	59.18684371884922	59.27310748115722	59.53179496110908	59.96093666167026	60.79070947558822	62.96900486319875	81.94524084814086
15.1	59.19113075921409	59.27659007158447	59.3619136560518	59.61785146660379	60.04262889521864	60.86437358867157	63.02296978554144	81.95397384554275
15.11	59.27991485166946	59.36444913617703	59.44885923262167	59.702124325238934	60.122656324399166	60.93658161648814	63.07594703565239	81.96269557080383
15.12	59.373752156671856	59.457288002293936	59.54071254270326	59.79109653345792	60.207060000144814	61.01259786293921	63.13149193593997	81.9714060455821
15.13	59.47361351246694	59.55606431931123	59.638418276219745	59.88567523975832	60.29668863351725	61.093167452170256	63.19011747084339	81.9801052914805
15.14	59.57924296208354	59.66052658540916	59.74172928777668	59.98562580113752	60.39132669592087	61.17810768876637	63.25170943384581	81.98879333004705
15.15	59.690399360325316	59.77043778775994	59.85041260714068	60.09072685905204	60.490770610652845	61.26724562611485	63.31615913989985	81.9974701827751
15.16	59.80685533059091	59.885574387191795	59.964248450827874	60.200769426612965	60.59482795086709	61.36041744071796	63.38336310982129	82.00613587110347
15.17	59.928396310041975	60.00572538839365	60.08302931653347	60.31555605112152	60.703316702116304	61.457467854575846	63.45322277610525	82.0147904164166
15.18	60.05481967431615	60.130691487183334	60.20655915223619	60.4349000446347	60.81606458336444	61.55824960130785	63.525644208466815	82.02343384004483
15.19	60.18593393399214	60.26028428732879	60.33465259273857	60.55862477606705	60.93290842102556	61.662622932128414	63.60053785756095	82.03206616326436
15.2	60.32155799589247	60.39432558025508	60.46713425721128	60.68656301904826	61.05369357116889	61.770455158190124	63.67781831547663	82.04068740729758
15.21	60.461520483077045	60.532646681704826	60.6038381020161	60.8185563503802	61.178273385541594	61.88162022615776	63.75740409172373	82.0492975933133
15.22	60.59857617484785	60.668106947099716	60.73772610551843	60.94786328866178	61.30036579104387	61.990643798244164	63.835598892758725	82.0578967424267
15.23	60.73163749086227	60.79963355493209	60.86773995374469	61.07346757573505	61.41902007918448	62.09669158662019	63.91182987813694	82.06648487569967
15.24	60.860880706963705	60.92739934689433	60.99404914149398	61.19552916312311	61.53438179269984	62.1998849126893	63.98616994860335	82.07506201414095
15.25	60.98647194382872	61.051567254870136	61.11681349167265	61.314199002164116	61.64658846865607	62.300338705371374	64.05868857305279	82.08362817870622
15.26	61.10856790506919	61.172291017580385	61.236183851244064	61.42961968212409	61.755770192630585	62.39816192393526	64.12945198960492	82.09218339029833
15.27	61.2273165501552	61.28971583427508	61.3523027263587	61.54192601339327	61.86205010636758	62.493457946963	64.19852339247083	82.10072766976751
15.28	61.342857708929486	61.40397896197554	61.465304862915914	61.65124556132213	61.96554487349705	62.5863249306296	64.26596310578702	82.10926103791138
15.290000000000001	61.45532364367623	61.51521026200041	61.575317778070165	61.757699135608455	62.06636510738802	62.676856139140455	64.3318287454816	82.11778351547528
15.3	61.5648395640089	61.62353270084005	61.682462247556565	61.86140123958633	62.16461576475341	62.76514024986588	64.39617537013719	82.12629512315236
15.31	61.67152409923538	61.7290628098641	61.786852753153596	61.96246048327884	62.26039650822732	62.851261635447194	64.45905562172695	82.1347958815838
15.32	61.77548973232992	61.831911107840455	61.888597894117204	62.06097996364998	62.353802040788196	62.935300624913964	64.52051985701934	82.14328581135875
15.33	61.876843199182474	61.93218248980398	61.98780076599729	62.15705761511706	62.44492241459611	63.01733374564503	64.5806162703766	82.15176493301486
15.34	61.975685856391685	62.02997658542537	62.084559309876205	62.25078653305734	62.53384331654346	63.097433947823035	64.63939100860615	82.16023326703808
15.35	62.080101234019935	62.133271496844706	62.1867479689121	62.349740520948174	62.62766952906108	63.18187152970271	64.70123005084209	82.16869083386315
15.36	62.196281667552036	62.24818091733026	62.3004030745772	62.45973132105526	62.73186175763399	63.27548054738841	64.7695416098428	82.1771376538734
15.37	62.323472412060326	62.37396199936641	62.424793442401636	62.58006137986906	62.84577432078028	63.37770569542438	64.84396407184104	82.18557374740126
15.38	62.46097931941962	62.50993129914762	62.5592461274634	62.71008805668627	62.96881140829869	63.488033027100826	64.92416020049012	82.1939991347282
15.39	62.608162910418045	62.655458991584744	62.70314077815006	62.84921837014311	63.100422412016975	63.60598623894888	65.00981518026613	82.20241383608497
15.4	62.764433144638645	62.80996376307155	62.85590464834398	62.996904348949016	63.24009778157451	63.731123355301335	65.10063484693347	82.21081787165168
15.41	62.92924479146576	62.972908288584705	63.017008177698926	63.15263890508425	63.38736533582126	63.8630337623082	65.19634408410995	82.21921126155804
15.42	63.1020933209659	63.143795214499654	63.18596106392607	63.31595216043955	63.541786970967934	64.00133554815338	65.29668536766543	82.22759402588359
15.43	63.282511246018686	63.32216358066714	63.36230876272373	63.48640816835818	63.70295571536466	64.14567311237231	65.40141744199472	82.23596618465753
15.44	63.47006485748914	63.50758562533444	63.54562936066522	63.66360198022972	63.87049308806269	64.29571501233538	65.51031411418319	82.24432775785935
15.45	63.65616121182488	63.69158027684969	63.727551792089486	63.83948163885123	64.03684513669805	64.44479380247866	65.61871109913638	82.25267876541855
