Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
11.70	69.52	70.29
11.71	69.57	70.32
11.72	69.61	70.36
11.73	69.65	70.40
11.74	69.69	70.44
11.75	69.73	70.48
11.76	69.77	70.51
11.77	69.81	70.55
11.78	69.85	70.59
11.79	69.89	70.63
11.80	69.93	70.66
11.81	69.97	70.70
11.82	70.01	70.74
11.83	70.05	70.78
11.84	70.09	70.82
11.85	70.13	70.85
11.86	70.17	70.89
11.87	70.21	70.93
11.88	70.26	70.97
11.89	70.30	71.00
11.90	70.34	71.04
11.91	70.37	71.07
11.92	70.38	71.09
11.93	70.40	71.11
11.94	70.42	71.12
11.95	70.44	71.14
11.96	70.45	71.16
11.97	70.47	71.17
11.98	70.49	71.19
11.99	70.51	71.21
12.00	70.52	71.22
12.01	70.54	71.24
12.02	70.56	71.26
12.03	70.58	71.27
12.04	70.59	71.29
12.05	70.61	71.31
12.06	70.63	71.32
12.07	70.65	71.34
12.08	70.66	71.36
12.09	70.68	71.37
12.10	70.70	71.39
12.11	70.71	71.41
12.12	70.73	71.42
12.13	70.75	71.44
12.14	70.77	71.46
12.15	70.78	71.47
12.16	70.80	71.49
12.17	70.82	71.51
12.18	70.83	71.52
12.19	70.85	71.54
12.20	70.87	71.56
12.21	70.88	71.57
12.22	70.90	71.59
12.23	70.92	71.61
12.24	70.94	71.62
12.25	70.95	71.64
12.26	70.97	71.66
12.27	70.99	71.67
12.28	71.00	71.69
12.29	71.02	71.70
12.30	71.04	71.72
