Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
2.92	32.07	33.02
2.93	32.19	33.15
2.94	32.32	33.27
2.95	32.44	33.39
2.96	32.56	33.51
2.97	32.68	33.63
2.98	32.80	33.75
2.99	32.92	33.87
3.00	33.04	33.99
3.01	33.16	34.11
3.02	33.28	34.23
3.03	33.40	34.35
3.04	33.52	34.47
3.05	33.64	34.59
3.06	33.76	34.70
3.07	33.87	34.82
3.08	33.99	34.93
3.09	34.10	35.05
3.10	34.21	35.16
3.11	34.33	35.27
3.12	34.44	35.39
3.13	34.55	35.50
3.14	34.67	35.61
3.15	34.78	35.72
3.16	34.89	35.84
3.17	35.00	35.95
3.18	35.11	36.06
3.19	35.22	36.17
3.20	35.33	36.28
3.21	35.44	36.39
3.22	35.55	36.49
3.23	35.66	36.60
3.24	35.76	36.71
3.25	35.87	36.82
3.26	35.98	36.93
3.27	36.09	37.04
3.28	36.20	37.14
3.29	36.31	37.25
3.30	36.41	37.36
3.31	36.52	37.46
3.32	36.63	37.57
3.33	36.73	37.68
3.34	36.84	37.78
3.35	36.94	37.89
3.36	37.05	37.99
3.37	37.15	38.10
3.38	37.26	38.20
3.39	37.36	38.30
3.40	37.47	38.41
3.41	37.57	38.51
3.42	37.67	38.61
3.43	37.77	38.71
3.44	37.88	38.82
3.45	37.98	38.92
3.46	38.08	39.02
3.47	38.18	39.12
3.48	38.28	39.22
3.49	38.38	39.32
3.50	38.48	39.42
3.51	38.58	39.52
3.52	38.68	39.61
3.53	38.78	39.71
3.54	38.87	39.81
3.55	38.97	39.91
3.56	39.07	40.01
3.57	39.17	40.10
3.58	39.26	40.20
3.59	39.36	40.29
3.60	39.46	40.39
3.61	39.55	40.49
3.62	39.65	40.58
3.63	39.74	40.68
3.64	39.84	40.77
3.65	39.93	40.86
3.66	40.02	40.96
3.67	40.12	41.05
3.68	40.21	41.14
3.69	40.30	41.24
3.70	40.40	41.33
3.71	40.49	41.42
3.72	40.59	41.52
3.73	40.68	41.61
3.74	40.78	41.71
3.75	40.87	41.80
3.76	40.97	41.89
3.77	41.06	41.99
3.78	41.16	42.08
3.79	41.25	42.17
3.80	41.34	42.27
3.81	41.44	42.36
3.82	41.53	42.45
3.83	41.62	42.54
3.84	41.72	42.64
3.85	41.81	42.73
3.86	41.90	42.82
3.87	41.99	42.91
3.88	42.08	43.00
3.89	42.17	43.09
3.90	42.27	43.18
3.91	42.36	43.27
3.92	42.45	43.36
3.93	42.54	43.45
3.94	42.63	43.53
3.95	42.72	43.62
3.96	42.80	43.71
3.97	42.89	43.80
3.98	42.98	43.89
3.99	43.07	43.97
4.00	43.16	44.07
4.01	43.26	44.16
4.02	43.35	44.25
4.03	43.44	44.34
4.04	43.53	44.43
4.05	43.63	44.52
4.06	43.72	44.61
4.07	43.81	44.70
4.08	43.90	44.79
4.09	43.99	44.88
4.10	44.08	44.96
4.11	44.17	45.05
4.12	44.26	45.14
4.13	44.35	45.23
4.14	44.44	45.32
4.15	44.53	45.40
4.16	44.62	45.49
4.17	44.71	45.58
4.18	44.80	45.67
4.19	44.89	45.75
4.20	44.97	45.84
4.21	45.06	45.93
4.22	45.15	46.01
4.23	45.24	46.10
4.24	45.32	46.18
4.25	45.41	46.27
4.26	45.50	46.35
4.27	45.59	46.44
4.28	45.67	46.52
4.29	45.76	46.61
4.30	45.85	46.69
4.31	45.94	46.78
4.32	46.04	46.88
4.33	46.13	46.97
4.34	46.23	47.06
4.35	46.32	47.15
4.36	46.42	47.24
4.37	46.51	47.33
4.38	46.61	47.42
4.39	46.70	47.52
