lamb/microns	Al2O3	Blackbody
0.01	3.275374648723327	5.501748136825192e-29
0.02	3.561517062059707	4.906494992723776e-24
0.03	3.8125792341351104	1.720641040728851e-20
0.04	3.96196522094074	7.953324760232884e-18
0.05	4.111543863471442	9.475187524064828e-16
0.060000000000000005	4.4048834643635955	4.34554182520721e-14
0.06999999999999999	4.632743217799813	9.9095843052016e-13
0.08	4.530874296419255	1.3350491673445849e-11
0.09	4.826537994230635	1.199376994790877e-10
0.09999999999999999	4.845788448570283	7.842330180233554e-10
0.11	5.05362263908109	3.981230135983356e-09
0.12	5.283099251764693	1.6471024937491682e-08
0.13	5.204906172380624	5.76224041468911e-08
0.14	5.275728562159275	1.7539908527230422e-07
0.15000000000000002	5.551951381035729	4.750607503051153e-07
0.16	5.624247844330303	1.1654151015227613e-06
0.17	5.554412516934703	2.6268520371902467e-06
0.18000000000000002	5.629634376223814	5.503906173035984e-06
0.19	5.736704566294769	1.0822985030568833e-05
0.2	5.891239082214883	2.0133627138069257e-05
0.21000000000000002	5.809089483733121	3.566980450620016e-05
0.22	5.98109629083352	6.0526908437034164e-05
0.23	5.967421348765805	9.885041673489182e-05
0.24000000000000002	6.003963358231653	0.00015603361095064958
0.25	6.0305423759886	0.00023892343894038934
0.26	5.088952241066166	0.0003560349121462361
0.27	4.370258009748759	0.0005177747214833719
0.28	3.837896540094711	0.0007366739062447504
0.29000000000000004	3.4170989897841824	0.001027627673111444
0.3	3.111815393890792	0.0014081383208991534
0.31	2.895513107436047	0.0018985551920020181
0.32	2.700101423949089	0.002522304039869418
0.33	2.5277481442877465	0.0033060973958729846
0.34	2.3704366085359223	0.004280117493617512
0.35000000000000003	2.2276881675688665	0.005478163992044129
0.36000000000000004	2.1947958728518304	0.006937759981012063
0.37	2.1920348049848344	0.008700211371616369
0.38	2.202218334338151	0.010810616585278694
0.39	2.208196185143403	0.013317825298668758
0.4	2.197898771639062	0.01627434674612627
0.41000000000000003	2.1804286203596694	0.019736209633866127
0.42000000000000004	2.1734558554668126	0.0237627770219717
0.43	2.1789200596506215	0.028416520552405716
0.44	2.1939735521366264	0.03376275913979374
0.45	2.224003723393076	0.039869367710538464
0.46	2.2541403308643195	0.04680646180121841
0.47000000000000003	2.2793722757019825	0.054646063842826297
0.48000000000000004	2.303379247973357	0.06346175680006172
0.49	2.3269575647598324	0.07332833054162347
0.5	2.351372729413547	0.08432142592327152
0.51	2.3712182257358285	0.09651718110198729
0.52	2.3993486709518494	0.10999188409435273
0.53	2.4185726942667616	0.12482163506836273
0.54	2.4488017503448933	0.14108202133396472
0.55	2.4815300971809386	0.15884780748826602
0.56	2.5157350347731695	0.1781926426874504
0.5700000000000001	2.5663993124592843	0.19918878656667496
0.5800000000000001	2.610791572312848	0.22190685491654222
0.59	2.6695294585218514	0.24641558585290343
0.6	2.7379304150029085	0.2727816268867081
0.61	2.808728736201749	0.3010693430119687
0.62	2.8757861243139473	0.3313406456812288
0.63	2.9467359364456125	0.36365484232703993
0.64	3.00328108718262	0.398068505912227
0.65	3.04813448465206	0.4346353638482115
0.66	3.0968002317565815	0.4734062055062922
0.67	3.1286164659711484	0.5144288074584593
0.68	3.161959253901523	0.5577478755190225
0.6900000000000001	3.1966611422174878	0.6034050026131674
0.7000000000000001	3.228501484752831	0.6514386414708148
0.7100000000000001	3.2612363488274796	0.7018840911313184
0.72	3.301413949209687	0.7547734962443121
0.73	3.357654989384181	0.8101358581623331
0.74	3.4253506811625094	0.8679970568398243
0.75	3.5000465904720013	0.9283798825791426
0.76	3.5796565304513632	0.9913040766957828
0.77	3.6805467894486297	1.0567863802109303
0.78	3.7930475914352955	1.1248405897185585
0.79	3.8992232942548153	1.1954776196156816
0.8	4.0076063428266275	1.2687055699272114
0.81	4.1322340625438425	1.3445297990005045
0.8200000000000001	4.2607153677546306	1.4229530003885558
0.8300000000000001	4.379515341441344	1.5039752832843802
0.8400000000000001	4.491764379878248	1.5875942559121312
0.85	4.604609590112188	1.673805111322493
0.86	4.718166054602189	1.7626007150807543
0.87	4.8262227944374825	1.8539716943754119
0.88	4.931311792949063	1.9479065281130628
0.89	5.033529636204577	2.044391637601684
0.9	5.132026590410031	2.143411477458948
0.91	5.218508551420652	2.244948626415125
0.92	5.301220937816247	2.348983877711199
0.93	5.388523287957108	2.455496328822184
0.9400000000000001	5.484025437312312	2.5644634702632523
0.9500000000000001	5.579857122319879	2.675861273262183
0.9600000000000001	5.669668953835535	2.789664276105888
0.97	5.751150835255228	2.9058456689914434
0.98	5.832173573872997	3.0243773772330895
0.99	5.922083196876105	3.145230142696294
1.0	6.023273245942444	3.268373603348107
1.01	6.131901964172922	3.3937763708298365
1.02	6.239277782180241	3.521406105973557
1.03	6.348578820563905	3.651229592198222
1.04	6.458397520514479	3.783212806734267
1.05	6.573592615837597	3.917320989637528
1.06	6.6932661609693636	4.053518710564306
1.07	6.821331538156637	4.191769933289346
1.08	6.958136580121897	4.332038077957578
1.09	7.096498396918212	4.474286081068675
1.1	7.234209684483847	4.618476453200851
1.11	7.37713960034299	4.764571334487039
1.12	7.524853873640952	4.912532547862478
1.1300000000000001	7.670517863900493	5.0623216501080845
1.1400000000000001	7.817049900143154	5.213899980718727
1.1500000000000001	7.965822972020979	5.367228708629577
1.1600000000000001	8.116704843504987	5.522268876837438
1.17	8.270149018571137	5.678981444957093
1.18	8.422186253761957	5.837327329755389
1.19	8.571968668997313	5.997267443708137
1.2	8.727048991946273	6.158762731626828
1.21	8.879808611112296	6.321774205403798
1.22	9.031101791609771	6.486262976925702
